nodeID nodeLabel
1 1820
2 1823
3 1824
4 1825
5 1921
6 1929
7 1931
8 1932
9 1933
10 1934
11 1936
12 1937
13 1938
14 1939
15 1940
16 8801
17 8808
18 8814
19 8865
20 Aglaope.infausta
21 Ancistrocerus.nigricornis
22 Andrena.albopunctata.morio
23 Andrena.assimilis
24 Andrena.congruens
25 Andrena.fulva
26 Andrena.synadelpha.nigroaenea
27 Andrena.tibialis.corvina
28 Andrena.trimmerana
29 Apis.mellifera
30 Asilidae.NI
31 Bombus.pascuorum.q.
32 Bombus.pascuorum.wk.
33 Bombus.pratorum.m.
34 Bombus.pratorum.wk.
35 Bombus.terrestris.q.
36 Bombus.terrestris.wk.
37 Calliphora.vomitoria
38 Cheilosia.glossa
39 Columba.palumbus
40 Criorhina.berberina
41 Dasysyrphus.albostriatus
42 Dendrocopos.major
43 Diptera.NI
44 Empididae.NI
45 Eristalis.arbustorum
46 Eristalis.pratorum
47 Eristalis.tenax
48 Erithacus.rubecula
49 Fringilla.coelebs
50 Fungus.NI
51 Garrulus.glandarius
52 Gonia.ornata
53 Halictus.quadricinctus
54 Halictus.scabiosae
55 Halictus.tridivisus
56 Hedya.pruniana
57 Hemaris.fuciformis
58 Hemaris.tityus
59 Iphiclides.podalirius.Ad
60 Iphiclides.podalirius.L
61 Lasioglossum.xanthopum
62 Mallota.fuciformis
63 Megachile.centuncularis
64 Myzus.cerasi
65 NI
66 Orthoptera.NI
67 Osmia.rufa
68 Parus.ater
69 Parus.caeruleus
70 Parus.cristatus
71 Parus.major
72 Phoenicurus.ochruros
73 Phoenicurus.phoenicurus
74 Pollenia.rudis
75 Psithyrus.vestalis.obenbergeri
76 Sitta.europaea
77 Sphecodes.gibbus
78 Sylvia.atricapilla
79 Sylvia.borin
80 Sylvia.cantillans
81 Sylvia.communis
82 Sylvia.conspicillata
83 Sylvia.melanocephala
84 Syrphus.ribessi
85 Syrphus.vitripennis
86 Tachina.corsicana
87 Taphrina.deformans
88 Turdus.merula
89 Turdus.viscivorus
90 Ungulates
91 Unidentified
92 Vanessa.cardui
93 Xylocopa.violacea
94 Yponomeuta.mahalebella
