nodeID nodeLabel
1 Aglaope.infausta
2 Ancistrocerus.nigricornis
3 Andrena.albopunctata.morio
4 Andrena.assimilis
5 Andrena.congruens
6 Andrena.fulva
7 Andrena.synadelpha.nigroaenea
8 Andrena.tibialis.corvina
9 Andrena.trimmerana
10 Apis.mellifera
11 Asilidae.NI
12 Bombus.pascuorum.q.
13 Bombus.pascuorum.wk.
14 Bombus.pratorum.m.
15 Bombus.pratorum.wk.
16 Bombus.terrestris.q.
17 Bombus.terrestris.wk.
18 Calliphora.vomitoria
19 Cheilosia.glossa
20 Columba.palumbus
21 Criorhina.berberina
22 Dasysyrphus.albostriatus
23 Dendrocopos.major
24 Diptera.NI
25 Empididae.NI
26 Eristalis.arbustorum
27 Eristalis.pratorum
28 Eristalis.tenax
29 Erithacus.rubecula
30 Fringilla.coelebs
31 Fungus.NI
32 Garrulus.glandarius
33 Gonia.ornata
34 Halictus.quadricinctus
35 Halictus.scabiosae
36 Halictus.tridivisus
37 Hedya.pruniana
38 Hemaris.fuciformis
39 Hemaris.tityus
40 Iphiclides.podalirius.Ad
41 Iphiclides.podalirius.L
42 Lasioglossum.xanthopum
43 Mallota.fuciformis
44 Megachile.centuncularis
45 Myzus.cerasi
46 NI
47 Orthoptera.NI
48 Osmia.rufa
49 Parus.ater
50 Parus.caeruleus
51 Parus.cristatus
52 Parus.major
53 Phoenicurus.ochruros
54 Phoenicurus.phoenicurus
55 pm1820
56 pm1823
57 pm1824
58 pm1825
59 pm1921
60 pm1929
61 pm1931
62 pm1932
63 pm1933
64 pm1934
65 pm1936
66 pm1937
67 pm1938
68 pm1939
69 pm1940
70 pm8801
71 pm8808
72 pm8814
73 pm8865
74 Pollenia.rudis
75 Psithyrus.vestalis.obenbergeri
76 Sitta.europaea
77 Sphecodes.gibbus
78 Sylvia.atricapilla
79 Sylvia.borin
80 Sylvia.cantillans
81 Sylvia.communis
82 Sylvia.conspicillata
83 Sylvia.melanocephala
84 Syrphus.ribessi
85 Syrphus.vitripennis
86 Tachina.corsicana
87 Taphrina.deformans
88 Turdus.merula
89 Turdus.viscivorus
90 Ungulates
91 Unidentified
92 Vanessa.cardui
93 Xylocopa.violacea
94 Yponomeuta.mahalebella
