node,multidegree,multistrength,multiPRcent,multiegvcent
1,Aglaope.infausta,24,90,0.281125247583328,0.263225146617674
2,Ancistrocerus.nigricornis,43,230,0.805562212099093,0.318501662545455
3,Andrena.albopunctata.morio,32,176,0.579942591102022,0.205089747991564
4,Andrena.assimilis,17,74,0.275290728716848,0.0456300683096111
5,Andrena.congruens,30,83.5,0.370393273555566,0.0175102290879061
6,Andrena.fulva,23,132.5,0.423083297815147,0.121825127183394
7,Andrena.synadelpha.nigroaenea,26,93,0.302315324122866,0.0927165520526291
8,Andrena.tibialis.corvina,31,143,0.489739271626122,0.12586373014446
9,Andrena.trimmerana,38,267,0.896294096547772,0.177641179938382
10,Apis.mellifera,25,143,0.433586112126689,0.238159719462141
11,Asilidae.NI,29,304.5,0.630166764392486,1
12,Bombus.pascuorum.q.,24,168,0.450636264258073,0.356103323209847
13,Bombus.pascuorum.wk.,22,87,0.283840493922071,0.201589206592297
14,Bombus.pratorum.m.,16,107,0.27399269189617,0.36884874643385
15,Bombus.pratorum.wk.,21,68.5,0.324881828200983,0.0250691546276028
16,Bombus.terrestris.q.,21,206,0.437073844106898,0.55251839720636
17,Bombus.terrestris.wk.,28,102,0.291283470152457,0.220086831537913
18,Calliphora.vomitoria,21,113,0.316030496378791,0.139273893018618
19,Cheilosia.glossa,22,125.5,0.338401100572954,0.235663335658562
20,Columba.palumbus,5,29,0.169399501924318,2.95197327442795e-06
21,Criorhina.berberina,1,31,0.162615406553419,2.46337562585607e-06
22,Dasysyrphus.albostriatus,3,16.5,0.114600935381609,1.72605135364315e-06
23,Dendrocopos.major,17,144,0.674274710561171,2.29442403926015e-05
24,Diptera.NI,3,7.5,0.0846166179440702,4.73497717363411e-07
25,Empididae.NI,4,20,0.135480722354068,2.41467450997228e-06
26,Eristalis.arbustorum,4,15.5,0.108066453142107,2.90909371790422e-06
27,Eristalis.pratorum,9,59,0.256624350588962,1.16498817477226e-05
28,Eristalis.tenax,3,4.5,0.072854584447734,3.84224218855437e-07
29,Erithacus.rubecula,3,65,0.247839211594606,1.18774490325968e-05
30,Fringilla.coelebs,7,5.5,0.0782775977886325,1.04395777352741e-06
31,Fungus.NI,1,0.5,0.0572173057905371,7.92389579259617e-06
32,Garrulus.glandarius,2,1,0.0600927972056844,9.75441845636182e-06
33,Gonia.ornata,1,0.5,0.0583588817641475,6.30271266677963e-06
34,Halictus.quadricinctus,2,2,0.062953631873564,5.16749733773092e-05
35,Halictus.scabiosae,1,1,0.059365704795582,3.03587840664776e-05
36,Halictus.tridivisus,3,7.5,0.0816527907760499,0.00023137727067203
37,Hedya.pruniana,2,1,0.0588637837962404,2.92875431500379e-05
38,Hemaris.fuciformis,2,1,0.0590031482707962,2.44201685395942e-05
39,Hemaris.tityus,17,20.5,0.126965985096004,0.00057308456038943
40,Iphiclides.podalirius.Ad,3,1.5,0.0605902238045043,4.75709144120392e-05
41,Iphiclides.podalirius.L,5,3,0.0659507903555911,8.38979217519163e-05
42,Lasioglossum.xanthopum,11,9.5,0.0888745832945758,0.000246602347464722
43,Mallota.fuciformis,2,3,0.065714006930414,0.000122961767556255
44,Megachile.centuncularis,18,241,0.883056163177791,0.00603458973759197
45,Myzus.cerasi,3,4,0.0700975348233953,0.000105951117617811
46,NI,3,2,0.0629607882147143,5.67524493945349e-05
47,Orthoptera.NI,5,26,0.15773806568955,0.000751664172927181
48,Osmia.rufa,1,0.5,0.0574733969252381,1.51793920332388e-05
49,Parus.ater,5,3,0.0661477572868234,7.22417445096227e-05
50,Parus.caeruleus,1,1.5,0.0612580126659258,4.55381760997168e-05
51,Parus.cristatus,7,4.5,0.0713204351149842,8.99217460765346e-05
52,Parus.major,1,0.5,0.0571681645886023,2.31507458724447e-05
53,Phoenicurus.ochruros,5,4,0.0695896087311238,8.37130121960032e-05
54,Phoenicurus.phoenicurus,1,0.5,0.0575890969403186,3.24291945561189e-06
55,pm1820,3,2,0.0625017773179959,5.53160133451607e-05
56,pm1823,1,0.5,0.0571681645886023,2.31507458724447e-05
57,pm1824,1,0.5,0.0571681645886023,2.31507458724447e-05
58,pm1825,10,56,0.229292492223997,0.00138460221765611
59,pm1921,4,3.5,0.0663732931738398,7.53823890155026e-05
60,pm1929,5,8.5,0.082471543434236,0.000243833323416507
61,pm1931,7,13,0.0960029080961423,0.000281058488807726
62,pm1932,2,2.5,0.0635418251654363,5.70617712836506e-05
63,pm1933,3,2,0.0621353764507775,2.95467044590426e-05
64,pm1934,9,14,0.10096457458773,0.000309551111881021
65,pm1936,2,1,0.0586675455677037,2.26432928798718e-05
66,pm1937,3,1.5,0.0604509171180602,4.25856988275105e-05
67,pm1938,19,288.5,1,0.00774343487603451
68,pm1939,15,66.5,0.269299158993185,0.00140269393265537
69,pm1940,10,24.5,0.136795523116256,0.000463701519790999
70,pm8801,3,3.5,0.066469123535705,8.35737202365579e-05
71,pm8808,7,28,0.145666059575101,0.0006190519443839
72,pm8814,11,56.5,0.23465770883555,0.00128642923573271
73,pm8865,2,2.5,0.0633107072477644,5.86891021332597e-05
74,Pollenia.rudis,2,1,0.057209212588319,0.00120261264841273
75,Psithyrus.vestalis.obenbergeri,12,30.5,0.101186809137494,0.10070603266519
76,Sitta.europaea,17,60.5,0.152646922939832,0.105647972863431
77,Sphecodes.gibbus,19,294,0.521282152520315,0.638434917381659
78,Sylvia.atricapilla,15,100,0.216661118543821,0.16268193498569
79,Sylvia.borin,16,126,0.248972613169432,0.34994127046037
80,Sylvia.cantillans,19,331,0.561918225114382,0.930515573781523
81,Sylvia.communis,2,2,0.0588828634771682,0.00370641893350494
82,Sylvia.conspicillata,10,12.5,0.0761503941922482,0.0218715262234703
83,Sylvia.melanocephala,12,173.5,0.301386488256488,0.725961581129986
84,Syrphus.ribessi,14,75,0.182099698427142,0.116106254102766
85,Syrphus.vitripennis,7,11,0.077632829603335,0.00834679588486732
86,Tachina.corsicana,5,4,0.0619247460984022,0.00693565414404806
87,Taphrina.deformans,14,66,0.154455997831182,0.186456634368845
88,Turdus.merula,16,56,0.146732497749965,0.102117628711962
89,Turdus.viscivorus,7,5.5,0.0652064641312983,0.00909327887911511
90,Ungulates,7,13,0.075454668464017,0.0403363407879051
91,Unidentified,10,21,0.0876347434000005,0.054775216554629
92,Vanessa.cardui,6,12.5,0.0737938004452628,0.0421737325477302
93,Xylocopa.violacea,1,3.5,0.0602649260685693,0.0224018584149814
94,Yponomeuta.mahalebella,4,3,0.0601146803690604,0.00800187443771797
