node,pagerankcentrality,eigenvectorcentrality,multistrength,multidegree
1,Aglaope.infausta,0.281125247583328,0.263225146617674,90,24
2,Ancistrocerus.nigricornis,0.805562212099093,0.318501662545455,230,43
3,Andrena.albopunctata.morio,0.579942591102022,0.205089747991564,176,32
4,Andrena.assimilis,0.275290728716848,0.0456300683096111,74,17
5,Andrena.congruens,0.370393273555566,0.0175102290879061,83.5,30
6,Andrena.fulva,0.423083297815147,0.121825127183394,132.5,23
7,Andrena.synadelpha.nigroaenea,0.302315324122866,0.0927165520526291,93,26
8,Andrena.tibialis.corvina,0.489739271626122,0.12586373014446,143,31
9,Andrena.trimmerana,0.896294096547772,0.177641179938382,267,38
10,Apis.mellifera,0.433586112126689,0.238159719462141,143,25
11,Asilidae.NI,0.630166764392486,1,304.5,29
12,Bombus.pascuorum.q.,0.450636264258073,0.356103323209847,168,24
13,Bombus.pascuorum.wk.,0.283840493922071,0.201589206592297,87,22
14,Bombus.pratorum.m.,0.27399269189617,0.36884874643385,107,16
15,Bombus.pratorum.wk.,0.324881828200983,0.0250691546276028,68.5,21
16,Bombus.terrestris.q.,0.437073844106898,0.55251839720636,206,21
17,Bombus.terrestris.wk.,0.291283470152457,0.220086831537913,102,28
18,Calliphora.vomitoria,0.316030496378791,0.139273893018618,113,21
19,Cheilosia.glossa,0.338401100572954,0.235663335658562,125.5,22
20,Columba.palumbus,0.169399501924318,2.95197327442795e-06,29,5
21,Criorhina.berberina,0.162615406553419,2.46337562585607e-06,31,1
22,Dasysyrphus.albostriatus,0.114600935381609,1.72605135364315e-06,16.5,3
23,Dendrocopos.major,0.674274710561171,2.29442403926015e-05,144,17
24,Diptera.NI,0.0846166179440702,4.73497717363411e-07,7.5,3
25,Empididae.NI,0.135480722354068,2.41467450997228e-06,20,4
26,Eristalis.arbustorum,0.108066453142107,2.90909371790422e-06,15.5,4
27,Eristalis.pratorum,0.256624350588962,1.16498817477226e-05,59,9
28,Eristalis.tenax,0.072854584447734,3.84224218855437e-07,4.5,3
29,Erithacus.rubecula,0.247839211594606,1.18774490325968e-05,65,3
30,Fringilla.coelebs,0.0782775977886325,1.04395777352741e-06,5.5,7
31,Fungus.NI,0.0572173057905371,7.92389579259617e-06,0.5,1
32,Garrulus.glandarius,0.0600927972056844,9.75441845636182e-06,1,2
33,Gonia.ornata,0.0583588817641475,6.30271266677963e-06,0.5,1
34,Halictus.quadricinctus,0.062953631873564,5.16749733773092e-05,2,2
35,Halictus.scabiosae,0.059365704795582,3.03587840664776e-05,1,1
36,Halictus.tridivisus,0.0816527907760499,0.00023137727067203,7.5,3
37,Hedya.pruniana,0.0588637837962404,2.92875431500379e-05,1,2
38,Hemaris.fuciformis,0.0590031482707962,2.44201685395942e-05,1,2
39,Hemaris.tityus,0.126965985096004,0.00057308456038943,20.5,17
40,Iphiclides.podalirius.Ad,0.0605902238045043,4.75709144120392e-05,1.5,3
41,Iphiclides.podalirius.L,0.0659507903555911,8.38979217519163e-05,3,5
42,Lasioglossum.xanthopum,0.0888745832945758,0.000246602347464722,9.5,11
43,Mallota.fuciformis,0.065714006930414,0.000122961767556255,3,2
44,Megachile.centuncularis,0.883056163177791,0.00603458973759197,241,18
45,Myzus.cerasi,0.0700975348233953,0.000105951117617811,4,3
46,NI,0.0629607882147143,5.67524493945349e-05,2,3
47,Orthoptera.NI,0.15773806568955,0.000751664172927181,26,5
48,Osmia.rufa,0.0574733969252381,1.51793920332388e-05,0.5,1
49,Parus.ater,0.0661477572868234,7.22417445096227e-05,3,5
50,Parus.caeruleus,0.0612580126659258,4.55381760997168e-05,1.5,1
51,Parus.cristatus,0.0713204351149842,8.99217460765346e-05,4.5,7
52,Parus.major,0.0571681645886023,2.31507458724447e-05,0.5,1
53,Phoenicurus.ochruros,0.0695896087311238,8.37130121960032e-05,4,5
54,Phoenicurus.phoenicurus,0.0575890969403186,3.24291945561189e-06,0.5,1
55,pm1820,0.0625017773179959,5.53160133451607e-05,2,3
56,pm1823,0.0571681645886023,2.31507458724447e-05,0.5,1
57,pm1824,0.0571681645886023,2.31507458724447e-05,0.5,1
58,pm1825,0.229292492223997,0.00138460221765611,56,10
59,pm1921,0.0663732931738398,7.53823890155026e-05,3.5,4
60,pm1929,0.082471543434236,0.000243833323416507,8.5,5
61,pm1931,0.0960029080961423,0.000281058488807726,13,7
62,pm1932,0.0635418251654363,5.70617712836506e-05,2.5,2
63,pm1933,0.0621353764507775,2.95467044590426e-05,2,3
64,pm1934,0.10096457458773,0.000309551111881021,14,9
65,pm1936,0.0586675455677037,2.26432928798718e-05,1,2
66,pm1937,0.0604509171180602,4.25856988275105e-05,1.5,3
67,pm1938,1,0.00774343487603451,288.5,19
68,pm1939,0.269299158993185,0.00140269393265537,66.5,15
69,pm1940,0.136795523116256,0.000463701519790999,24.5,10
70,pm8801,0.066469123535705,8.35737202365579e-05,3.5,3
71,pm8808,0.145666059575101,0.0006190519443839,28,7
72,pm8814,0.23465770883555,0.00128642923573271,56.5,11
73,pm8865,0.0633107072477644,5.86891021332597e-05,2.5,2
74,Pollenia.rudis,0.057209212588319,0.00120261264841273,1,2
75,Psithyrus.vestalis.obenbergeri,0.101186809137494,0.10070603266519,30.5,12
76,Sitta.europaea,0.152646922939832,0.105647972863431,60.5,17
77,Sphecodes.gibbus,0.521282152520315,0.638434917381659,294,19
78,Sylvia.atricapilla,0.216661118543821,0.16268193498569,100,15
79,Sylvia.borin,0.248972613169432,0.34994127046037,126,16
80,Sylvia.cantillans,0.561918225114382,0.930515573781523,331,19
81,Sylvia.communis,0.0588828634771682,0.00370641893350494,2,2
82,Sylvia.conspicillata,0.0761503941922482,0.0218715262234703,12.5,10
83,Sylvia.melanocephala,0.301386488256488,0.725961581129986,173.5,12
