species	behav	mass	gape	frugscore	nvis10h	nfrhand	nfrdisp	dispprob	qc
Penelope superciliaris	defecate	850.0	19.5	3	0.12	8.91	8.27	0.93	0.97
Penelope obscura	defecate	960.0	23.4	3	0.12	8.91	8.27	0.93	0.97
Aburria jacutinga	defecate	1250.0	24.0	3	0.18	30.09	30.09	1.00	5.46
Baryphthengus ruficapillus	regurgitate	175.0	17.2	1	0.60	0.83	0.83	1.00	0.50
Trogon viridis	regurgitate	87.6	19.6	2	1.22	1.09	0.55	0.50	0.66
Trogon surrucura	regurgitate	73.3	18.0	1	NA	NA	NA	NA	NA
Trogon rufus	regurgitate	52.8	17.8	1	NA	NA	NA	NA	NA
Ramphastos dicolorus	regurgitate	400.0	30.7	3	0.14	4.44	4.37	0.98	0.63
Ramphastos vitellinus	regurgitate	361.5	31.0	3	0.34	6.95	6.44	0.93	2.20
Ramphastos toco	regurgitate	675.0	32.0	2	NA	NA	NA	NA	NA
Selenidera maculirostris	regurgitate	160.0	25.2	3	0.51	6.28	6.02	0.96	3.05
Pteroglossus aracari	regurgitate	232.0	29.1	3	NA	NA	NA	NA	NA
Pteroglossus bailloni	regurgitate	139.0	23.6	3	0.45	3.60	3.60	1.00	1.64
Pitangus sulphuratus	regurgitate	61.0	15.5	1	0.05	1.50	1.50	1.00	0.07
Myiodynastes maculatus	regurgitate	45.9	17.0	1	0.24	1.00	1.00	1.00	0.24
Megarhynchus pitangua	regurgitate	66.0	18.0	1.0	NA	NA	NA	NA	NA
Tityra cayana	regurgitate	68.1	18.7	2	0.04	2.25	2.00	0.89	0.08
Procnias nudicollis	regurgitate	174.0	24.5	3	0.42	5.54	5.41	0.98	2.29
Pyroderus scutatus	regurgitate	357.0	26.7	3	0.12	2.20	2.20	1.00	0.25
Lipaugus lanioides	regurgitate	94.8	18.7	3	0.83	2.10	2.10	1.00	1.74
Carpornis cucullata	regurgitate	75.7	14.4	3	0.30	2.97	2.12	0.71	0.64
Carpornis melanocephala	regurgitate	64.2	16.9	3	0.30	2.97	2.12	0.71	0.64
Turdus leucomelas	regurgitate	68.6	11.9	2	1.28	1.21	1.21	1.00	1.55
Turdus subalaris	regurgitate	49.5	12.0	2	0.11	3.00	3.00	1.00	0.33
Turdus amaurochalinus	regurgitate	63.1	11.4	2	1.37	0.94	0.94	1.00	1.28
Turdus flavipes	regurgitate	60.0	12.0	2	2.69	1.41	1.07	0.76	2.87
Turdus albicollis	regurgitate	54.1	11.2	2	1.57	1.99	1.42	0.71	2.22
Turdus rufiventris	regurgitate	69.5	12.0	2	1.20	1.29	1.21	0.94	1.45
