# ----------------------------------------------------------------------------
# Dataset: number of interactions and nodes in plant-frugivore interaction
# networks.
# Pedro Jordano. Sevilla.. 21 December 2023.
#
# id: number ID. of dataset.
# type: sp, species-based network; ind: individual-based network.
# sp: plant species name and family.
# P: number of plant species (for sp-based netwotks) or plant individuals (for 
#    ind-based networks) studied. 
# A: number of animal species.
# S: total number of nodes in the network (A+P).
# I: number of distinct interactions in network.
# C: connectance (C= i/(A+P)).
# biome: t, tropical; nt: non-tropical.
# site: study locality.
# reference: Bibliographic reference.
# node: refers to the total number of species or of individuals (P+A) in 
#       the adjacency matrix.
# 
# Reference for data: Quintero et al. 2025. 
#                     PNAS, doi= 10.1101/2024.02.02.578595.
# ----------------------------------------------------------------------------
id	code	type	sp	P	A	S	I	C	biome	site	reference
1	indw01	ind	Pistacia lentiscus (Anacardiaceae)	40	27	67	392	0,3630	nt	El Puntal	Quintero, E., Rodríguez‐Sánchez, F., & Jordano, P. (2023). Reciprocity and interaction effectiveness in generalised mutualisms among free‐living species. Ecology Letters, 26(1), 132–146.
2	indw02	ind	Pistacia lentiscus (Anacardiaceae)	40	16	56	134	0,2094	nt	Laguna de las Madroñas	Quintero, E., Rodríguez‐Sánchez, F., & Jordano, P. (2023). Reciprocity and interaction effectiveness in generalised mutualisms among free‐living species. Ecology Letters, 26(1), 132–146.
3	indw03	ind	Juniperus phoenicea (Cupressaceae)	35	10	45	137	0,3914	nt	Colonizacion	Isla, J., Jácome-Flores, M., Arroyo, J. M., & Jordano, P. (2023). The turnover of plant–frugivore interactions along plant range expansion: Consequences for natural colonization processes. Proceedings of the Royal Society B: Biological Sciences, 290(1999), 20222547.
4	indw04	ind	Juniperus phoenicea (Cupressaceae)	35	10	45	154	0,4400	nt	Ojillo	Isla, J., Jácome-Flores, M., Arroyo, J. M., & Jordano, P. (2023). The turnover of plant–frugivore interactions along plant range expansion: Consequences for natural colonization processes. Proceedings of the Royal Society B: Biological Sciences, 290(1999), 20222547.
5	indw05	ind	Juniperus phoenicea (Cupressaceae)	35	11	46	148	0,3844	nt	El Marqués	Isla, J., Jácome-Flores, M., Arroyo, J. M., & Jordano, P. (2023). The turnover of plant–frugivore interactions along plant range expansion: Consequences for natural colonization processes. Proceedings of the Royal Society B: Biological Sciences, 290(1999), 20222547.
6	indw06	ind	Lithraea molleoides (Anacardiaceae)	13	10	23	37	0,2846	t	Los Hornillos	Vergara-Tabares, D. L., Blendinger, P. G., Tello, A., Peluc, S. I., & Tecco, P. A. (2022). Fleshy-fruited invasive shrubs indirectly increase native tree seed dispersal. Oikos, 2022(2).
7	indw07	ind	Lithraea molleoides (Anacardiaceae)	14	10	24	33	0,2357	t	Las Calles	Vergara-Tabares, D. L., Blendinger, P. G., Tello, A., Peluc, S. I., & Tecco, P. A. (2022). Fleshy-fruited invasive shrubs indirectly increase native tree seed dispersal. Oikos, 2022(2).
8	indw08	ind	Lithraea molleoides (Anacardiaceae)	14	13	27	46	0,2527	t	La Poblacion	Vergara-Tabares, D. L., Blendinger, P. G., Tello, A., Peluc, S. I., & Tecco, P. A. (2022). Fleshy-fruited invasive shrubs indirectly increase native tree seed dispersal. Oikos, 2022(2).
9	indw09	ind	Lithraea molleoides (Anacardiaceae)	13	12	25	41	0,2628	t	San Javier	Vergara-Tabares, D. L., Blendinger, P. G., Tello, A., Peluc, S. I., & Tecco, P. A. (2022). Fleshy-fruited invasive shrubs indirectly increase native tree seed dispersal. Oikos, 2022(2).
10	indw10	ind	Lithraea molleoides (Anacardiaceae)	12	11	23	29	0,2197	t	Las Rabonas	Vergara-Tabares, D. L., Blendinger, P. G., Tello, A., Peluc, S. I., & Tecco, P. A. (2022). Fleshy-fruited invasive shrubs indirectly increase native tree seed dispersal. Oikos, 2022(2).
11	indw11	ind	Lithraea molleoides (Anacardiaceae)	11	7	18	25	0,3247	t	Los Molles	Vergara-Tabares, D. L., Blendinger, P. G., Tello, A., Peluc, S. I., & Tecco, P. A. (2022). Fleshy-fruited invasive shrubs indirectly increase native tree seed dispersal. Oikos, 2022(2).
12	indw12	ind	Laurus nobilis (Lauraceae)	18	17	35	87	0,2843	nt	NA	Rodríguez-Sánchez, F. (2010). An integrative framework to investigate species responses to climate change: Biogeography and ecology of relict trees in the Mediterranean. PhD Thesis. Universidad de Sevilla, Spain.
