order	fam	sp	common	behav	bmass	gape	frug	BESP	UFSC	JURU	IRAC	FSJO	SGEN	CARA	SCLA	MPAD	PANT	SJOA	CAET	IGUA	CARD	PILO	RUNA	SMAZ	SBAR	VRIC	SVIR	CBOT	TING
Passeriformes	Cotingidae	Carpornis cucullata	Hooded Berryeater	regurgitate	75.7	14.4	3	0	NA	1	NA	NA	NA	0	NA	NA	0	0	NA	NA	0	1	NA	NA	1	NA	1	1	1
Passeriformes	Cotingidae	Carpornis melanocephala	Black-headed Berryeater	regurgitate	64.2	16.9	3	0	NA	0	NA	NA	NA	0	NA	NA	0	0	NA	NA	1	0	1	1	1	NA	0	1	0
Passeriformes	Cotingidae	Lipaugus lanioides	Cinnamon-vented Piha	regurgitate	94.8	18.7	3	0	0	0	0	0	0	0	NA	NA	0	1	0	NA	0	0	NA	NA	1	NA	1	1	0
Passeriformes	Cotingidae	Lipaugus vociferans	Screaming Piha	regurgitate	69.2	17.7	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA
Passeriformes	Cotingidae	Procnias averano	Bearded Bellbird	regurgitate	168.0	25.0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Passeriformes	Cotingidae	Procnias nudicollis	Bare-throated Bellbird	regurgitate	174.0	24.5	3	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
Passeriformes	Cotingidae	Pyroderus scutatus	Red-ruffed Fruitcrow	regurgitate	357.0	26.7	3	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1	0
Passeriformes	Cotingidae	Tijuca atra	Black-and-gold Cotinga	regurgitate	80.0	15.2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Passeriformes	Mimidae	Mimus saturninus	Chalk-browed Mockingbird	regurgitate	73.0	12.9	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1
Coraciiformes	Momotidae	Baryphthengus ruficapillus	Rufous-capped Motmot	regurgitate	175.0	17.2	1	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1
Piciformes	Picidae	Celeus flavescens	Blond-crested Woodpecker	regurgitate	201.0	12.9	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1
Gruiformes	Rallidae	Aramides cajanea	Gray-necked Wood-Rail	regurgitate	397.0	16.4	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	0
Piciformes	Ramphastidae	Pteroglossus aracari	Black-necked Aracari	regurgitate	232.0	29.1	3	0	0	0	0	0	0	0	1	1	1	0	1	NA	0	0	1	1	0	1	0	0	0
Piciformes	Ramphastidae	Pteroglossus bailloni	Saffron Toucanet	regurgitate	139.0	23.6	3	0	0	0	0	0	0	0	NA	NA	0	0	NA	1	0	0	NA	NA	1	1	1	1	0
Piciformes	Ramphastidae	Ramphastos dicolorus	Red-breasted Toucan	regurgitate	400.0	30.7	3	NA	0	0	0	0	0	0	0	0	NA	0	0	1	1	1	NA	NA	1	0	1	1	1
Piciformes	Ramphastidae	Ramphastos vitellinus	Channel-billed Toucan	regurgitate	361.5	31.0	3	0	NA	0	NA	NA	NA	0	NA	1	1	1	0	NA	1	1	1	1	1	NA	0	1	1
Piciformes	Ramphastidae	Selenidera maculirostris	Spot-billed Toucanet	regurgitate	160.0	25.2	3	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	1	1
Passeriformes	Tityridae	Tityra cayana	Black-tailed Tityra	regurgitate	68.1	18.7	2	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0
