species	BESP	UFSC	JURU	IRAC	FSJO	SGEN	CARA	SCLA	MPAD	PANT	SJOA	CAET	IGUA	CARD	PILO	RUNA	SMAZ	SBAR	VRIC	SVIR	CBOT	TING
Penelope superciliaris	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0
Penelope obscura	0	0	1	NA	NA	NA	1	NA	NA	0	1	NA	1	1	0	NA	NA	1	0	1	1	1
Aburria jacutinga	0	NA	0	NA	NA	NA	0	NA	NA	0	0	NA	1	1	NA	0	0	1	0	0	1	0
Baryphthengus ruficapillus	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1
Trogon viridis	0	NA	1	NA	NA	NA	1	NA	NA	0	1	NA	NA	1	1	1	1	1	NA	1	1	1
Trogon surrucura	1	0	1	0	1	0	0	1	0	0	0	1	1	0	1	NA	NA	0	1	1	1	1
Trogon rufus	0	NA	1	NA	NA	NA	0	NA	NA	0	0	1	1	0	1	1	1	1	1	1	1	1
Ramphastos dicolorus	NA	0	0	0	0	0	0	0	0	NA	0	0	1	1	1	NA	NA	1	0	1	1	1
Ramphastos vitellinus	0	NA	0	NA	NA	NA	0	NA	1	1	1	0	NA	1	1	1	1	1	NA	0	1	1
Ramphastos toco	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenidera maculirostris	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	1	1
Pteroglossus aracari	0	0	0	0	0	0	0	1	1	1	0	1	NA	0	0	1	1	0	1	0	0	0
Pteroglossus bailloni	0	0	0	0	0	0	0	NA	NA	0	0	NA	1	0	0	NA	NA	1	1	1	1	0
Pitangus sulphuratus 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Myiodynastes maculatus	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0
Megarhynchus pitangua	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tityra cayana	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0
Procnias nudicollis	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
Pyroderus scutatus	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1	0
Lipaugus lanioides	0	0	0	0	0	0	0	NA	NA	0	1	0	NA	0	0	NA	NA	1	NA	1	1	0
Carpornis cucullata	0	NA	1	NA	NA	NA	0	NA	NA	0	0	NA	NA	0	1	NA	NA	1	NA	1	1	1
Carpornis melanocephala	0	NA	0	NA	NA	NA	0	NA	NA	0	0	NA	NA	1	0	1	1	1	NA	0	1	0
Turdus leucomelas	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Turdus subalaris	1	0	0	0	0	1	NA	0	0	1	NA	1	1	NA	0	NA	NA	1	1	NA	0	NA
Turdus amaurochalinus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Turdus flavipes	0	NA	1	NA	NA	0	1	0	1	1	1	0	1	1	1	0	0	1	NA	1	1	1
Turdus albicollis	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Turdus rufiventris	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
