# Herbivory. Canonical form.
	Yponomeuta.mahalebella	Hemaris.fuciformis	Iphiclides.podalirius	Hedya.pruniana	Orthoptera.NI	Myzus.cerasi	Aglaope.infausta	Fungus.NI	Taphrina.deformans	Ungulates	NI	pm1933	pm1931	pm1932	pm1934	pm1936	pm1937	pm1938	pm1939	pm1940	pm1921	pm1823	pm1824	pm1820	pm1825	pm1929	pm8801	pm8808	pm8814	pm8865
pm1933	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1931	0	0	0	59	0	10	0	17	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1932	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1934	5	0	0	0	0	0	0	10	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1936	0	0	18	18	8	0	5	5	2	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1937	0	62	10	11	0	5	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1938	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1939	0	0	0	18	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1940	0	0	5	4	0	0	11	30	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1921	15	0	0	8	0	0	10	30	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1823	0	0	0	30	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1824	0	0	0	10	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1820	20	0	0	0	2	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1825	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1929	8	0	0	41	5	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm8801	0	0	0	23	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm8808	10	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm8814	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm8865	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yponomeuta.mahalebella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	15	0	0	20	0	8	0	10	0	0
Hemaris.fuciformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0
Iphiclides.podalirius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	10	0	0	5	0	0	0	0	0	0	0	0	0	0
Hedya.pruniana	0	0	0	0	0	0	0	0	0	0	0	6	59	8	0	18	11	5	18	4	8	30	10	0	8	41	23	6	12	21
Orthoptera.NI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	5	0	0	0	0
Myzus.cerasi	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	5	0	0	0	0	0	0	20	0	0	0	5	0	0
Aglaope.infausta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	11	10	0	0	0	0	5	0	0	0	0
Fungus.NI	0	0	0	0	0	0	0	0	0	0	0	0	17	0	10	5	8	0	0	30	30	4	11	0	0	3	0	0	0	0
Taphrina.deformans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	2	0	0	0	0	0	0	0	0	0	0	0
Ungulates	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	10	0	0	0	60	0	0	0	0	0	0	0	0	0	0
NI	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	1	3	0	1	0	0	1	0	0	0
