
# Pollination. Canonical form.
	pm1933	pm1931	pm1932	pm1934	pm1936	pm1937	pm1938	pm1939	pm1940	pm1921	pm1823	pm1824	pm1820	pm1825	pm1929	pm8801	pm8808	pm8814	pm8865	Hemaris.tityus	Iphiclides.podalirius	Vanessa.cardui	Psithyrus.vestalis.obenbergeri	Bombus.pratorum(m)	Bombus.pratorum(wk)	Bombus.pascuorum(wk)	Bombus.pascuorum(q)	Bombus.terrestris(wk)	Bombus.terrestris(q)	Xylocopa.violacea	Apis.mellifera	Osmia.rufa	Andrena.fulva	Andrena.synadelpha/nigroaenea	Andrena.trimmerana	Andrena.congruens	Andrena.tibialis.corvina	Andrena.albopunctata/morio	Andrena.assimilis	Halictus.quadricinctus	Halictus.tridivisus	Halictus.scabiosae	Lasioglossum.xanthopum	Sphecodes.gibbus	Megachile.centuncularis	Ancistrocerus.nigricornis	Eristalis.tenax	Eristalis.pratorum	Eristalis.arbustorum	Cheilosia.glossa	Mallota.fuciformis	Dasysyrphus.albostriatus	Syrphus.vitripennis	Syrphus.ribessi	Criorhina.berberina	Calliphora.vomitoria	Gonia.ornata	Pollenia.rudis	Tachina.corsicana	Asilidae.n.i.	Empididae.n.i.	Diptera.n.i.
Hemaris.tityus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iphiclides.podalirius	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vanessa.cardui	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psithyrus.vestalis.obenbergeri	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bombus.pratorum(m)	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bombus.pratorum(wk)	0	6	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bombus.pascuorum(wk)	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bombus.pascuorum(q)	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bombus.terrestris(wk)	2	6	1	2	1	1	1	0	8	1	5	1	1	4	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bombus.terrestris(q)	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylocopa.violacea	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apis.mellifera	1	4	0	0	0	1	0	2	3	1	2	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Osmia.rufa	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Andrena.fulva	2	112	2	28	2	34	3	0	96	3	1	56	5	43	32	13	3	45	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Andrena.synadelpha/nigroaenea	0	5	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Andrena.trimmerana	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Andrena.congruens	8	18	0	0	0	0	0	0	14	0	0	0	0	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
