nodeID layerID color size
20 1 orange 20
21 1 orange 20
22 1 orange 20
23 1 orange 20
24 1 orange 20
25 1 orange 20
26 1 orange 20
27 1 orange 20
28 1 orange 20
29 1 orange 20
30 1 orange 20
31 2 red 20
32 2 red 20
33 2 red 20
34 2 red 20
35 2 red 20
36 2 red 20
37 2 red 20
38 2 red 20
39 2 red 20
40 2 red 20
41 2 red 20
42 2 red 20
43 2 red 20
44 2 red 20
45 2 red 20
46 2 red 20
47 2 red 20
48 2 red 20
49 2 red 20
50 2 red 20
51 2 red 20
52 2 red 20
53 2 red 20
54 2 red 20
55 2 red 20
56 2 red 20
57 2 red 20
58 2 red 20
59 2 red 20
60 2 red 20
61 2 red 20
62 2 red 20
63 2 red 20
64 2 red 20
65 2 red 20
66 2 red 20
67 2 red 20
68 2 red 20
69 2 red 20
70 2 red 20
71 2 red 20
72 2 red 20
73 2 red 20
74 3 blue 20
75 3 blue 20
76 3 blue 20
77 3 blue 20
78 3 blue 20
79 3 blue 20
80 3 blue 20
81 3 blue 20
82 3 blue 20
83 3 blue 20
84 3 blue 20
85 3 blue 20
86 3 blue 20
87 3 blue 20
88 3 blue 20
89 3 blue 20
90 3 blue 20
91 3 blue 20
92 3 blue 20
93 3 blue 20
94 3 blue 20
