"Layer";"Node";"Label";"Community"
"1-Multi";1;"1933";1
"1-Multi";2;"1931";3
"1-Multi";3;"1932";2
"1-Multi";4;"1934";4
"1-Multi";5;"1936";8
"1-Multi";6;"1937";6
"1-Multi";7;"1938";2
"1-Multi";8;"1939";2
"1-Multi";9;"1940";4
"1-Multi";10;"1921";4
"1-Multi";11;"1823";1
"1-Multi";12;"1824";5
"1-Multi";13;"1820";7
"1-Multi";14;"1825";3
"1-Multi";15;"1929";3
"1-Multi";16;"8801";1
"1-Multi";17;"8808";7
"1-Multi";18;"8814";3
"1-Multi";19;"8865";3
"1-Multi";20;"Ymah";7
"1-Multi";21;"Hfuc";6
"1-Multi";22;"Ipod_larv";8
"1-Multi";23;"Hpru";3
"1-Multi";24;"OrNI";8
"1-Multi";25;"Mcer";7
"1-Multi";26;"Ainf";4
"1-Multi";27;"FuNI";4
"1-Multi";28;"Tdef";6
"1-Multi";29;"UNGU";4
"1-Multi";30;"NI";8
"1-Multi";31;"Htyt";0
"1-Multi";32;"Ipod";0
"1-Multi";33;"Vcar";0
"1-Multi";34;"Pves";0
"1-Multi";35;"Bprm";0
"1-Multi";36;"Bprw";0
"1-Multi";37;"Bpaw";0
"1-Multi";38;"Bpaq";0
"1-Multi";39;"Btew";0
"1-Multi";40;"Bteq";0
"1-Multi";41;"Xvio";0
"1-Multi";42;"Amel";0
"1-Multi";43;"Oruf";0
"1-Multi";44;"Aful";0
"1-Multi";45;"Asyn";0
"1-Multi";46;"Atri";0
"1-Multi";47;"Acon";0
"1-Multi";48;"Atib";0
"1-Multi";49;"Aalb";0
"1-Multi";50;"Aass";0
"1-Multi";51;"Hqua";0
"1-Multi";52;"Htri";0
"1-Multi";53;"Hsca";0
"1-Multi";54;"Lxan";0
"1-Multi";55;"Sgib";0
"1-Multi";56;"Mcen";0
"1-Multi";57;"Anig";0
"1-Multi";58;"Eten";0
"1-Multi";59;"Epra";0
"1-Multi";60;"Earb";0
"1-Multi";61;"Cglo";0
"1-Multi";62;"Mfuc";0
"1-Multi";63;"Dalb";0
"1-Multi";64;"Svit";0
"1-Multi";65;"Srib";0
"1-Multi";66;"Cber";0
"1-Multi";67;"Cvom";0
"1-Multi";68;"Gorn";0
"1-Multi";69;"Prud";0
"1-Multi";70;"Tcor";0
"1-Multi";71;"AsNI";0
"1-Multi";72;"EmNI";0
"1-Multi";73;"DiNI";0
"1-Multi";74;"Cpal";0
"1-Multi";75;"Ggla";0
"1-Multi";76;"Tmer";0
"1-Multi";77;"Poch";0
"1-Multi";78;"Erub";0
"1-Multi";79;"Pate";0
"1-Multi";80;"Fcoe";0
"1-Multi";81;"Scon";0
"1-Multi";82;"Satr";0
"1-Multi";83;"Tvis";0
"1-Multi";84;"Scom";0
"1-Multi";85;"Smel";0
"1-Multi";86;"Sbor";0
"1-Multi";87;"Pcae";0
"1-Multi";88;"Ppho";0
"1-Multi";89;"Pcri";0
"1-Multi";90;"Pmaj";0
"1-Multi";91;"Scan";0
"1-Multi";92;"Seur";0
"1-Multi";93;"Dmaj";0
"1-Multi";94;"AvNI";0
"2-Multi";1;"1933";1
"2-Multi";2;"1931";3
"2-Multi";3;"1932";2
"2-Multi";4;"1934";4
"2-Multi";5;"1936";2
"2-Multi";6;"1937";3
"2-Multi";7;"1938";2
"2-Multi";8;"1939";2
"2-Multi";9;"1940";2
"2-Multi";10;"1921";2
"2-Multi";11;"1823";1
"2-Multi";12;"1824";5
"2-Multi";13;"1820";2
"2-Multi";14;"1825";3
"2-Multi";15;"1929";3
"2-Multi";16;"8801";1
"2-Multi";17;"8808";2
"2-Multi";18;"8814";3
"2-Multi";19;"8865";2
"2-Multi";20;"Ymah";0
"2-Multi";21;"Hfuc";0
"2-Multi";22;"Ipod_larv";0
"2-Multi";23;"Hpru";0
"2-Multi";24;"OrNI";0
"2-Multi";25;"Mcer";0
"2-Multi";26;"Ainf";0
"2-Multi";27;"FuNI";0
"2-Multi";28;"Tdef";0
"2-Multi";29;"UNGU";0
"2-Multi";30;"NI";0
"2-Multi";31;"Htyt";2
"2-Multi";32;"Ipod";2
"2-Multi";33;"Vcar";1
"2-Multi";34;"Pves";3
"2-Multi";35;"Bprm";3
"2-Multi";36;"Bprw";2
"2-Multi";37;"Bpaw";2
"2-Multi";38;"Bpaq";3
"2-Multi";39;"Btew";2
"2-Multi";40;"Bteq";2
"2-Multi";41;"Xvio";3
"2-Multi";42;"Amel";3
"2-Multi";43;"Oruf";2
"2-Multi";44;"Aful";3
"2-Multi";45;"Asyn";3
"2-Multi";46;"Atri";3
"2-Multi";47;"Acon";3
"2-Multi";48;"Atib";3
"2-Multi";49;"Aalb";3
"2-Multi";50;"Aass";3
"2-Multi";51;"Hqua";3
"2-Multi";52;"Htri";2
"2-Multi";53;"Hsca";3
"2-Multi";54;"Lxan";3
"2-Multi";55;"Sgib";3
"2-Multi";56;"Mcen";2
"2-Multi";57;"Anig";2
"2-Multi";58;"Eten";5
"2-Multi";59;"Epra";5
"2-Multi";60;"Earb";2
"2-Multi";61;"Cglo";2
"2-Multi";62;"Mfuc";2
"2-Multi";63;"Dalb";2
"2-Multi";64;"Svit";2
"2-Multi";65;"Srib";2
"2-Multi";66;"Cber";2
"2-Multi";67;"Cvom";2
"2-Multi";68;"Gorn";2
"2-Multi";69;"Prud";2
"2-Multi";70;"Tcor";2
"2-Multi";71;"AsNI";2
"2-Multi";72;"EmNI";2
"2-Multi";73;"DiNI";2
"2-Multi";74;"Cpal";0
"2-Multi";75;"Ggla";0
"2-Multi";76;"Tmer";0
"2-Multi";77;"Poch";0
"2-Multi";78;"Erub";0
"2-Multi";79;"Pate";0
"2-Multi";80;"Fcoe";0
"2-Multi";81;"Scon";0
"2-Multi";82;"Satr";0
"2-Multi";83;"Tvis";0
"2-Multi";84;"Scom";0
"2-Multi";85;"Smel";0
"2-Multi";86;"Sbor";0
"2-Multi";87;"Pcae";0
"2-Multi";88;"Ppho";0
"2-Multi";89;"Pcri";0
"2-Multi";90;"Pmaj";0
"2-Multi";91;"Scan";0
"2-Multi";92;"Seur";0
"2-Multi";93;"Dmaj";0
"2-Multi";94;"AvNI";0
