"ID";"Adj.Matrix";"Frequency";"Z.Score";"p.Value"
"14";"0000000000003220";0.11477;86.036;0
"140";"0000003000002030";0.10977;33402;0
"14";"0000000000002330";0.096895;94.097;0
"140";"0000002000002020";0.077709;43352;0
"140";"0000003000003030";0.061178;68258;0
"14";"0000000000002310";0.053873;61.423;0
"204";"0000000032003200";0.050631;253.1;0
"140";"0000002000003020";0.047604;26557;0
"14";"0000000000002220";0.047425;45.653;0
"2184";"0003000300030000";0.03967;44261;0
"14";"0000000000002210";0.035572;32.062;0
"204";"0000000033003300";0.034915;192.64;0
"14";"0000000000003330";0.029891;80.095;0
"140";"0000003000001030";0.029096;32464;0
"2184";"0002000200020000";0.025855;2.12199999991051e-314;0
"140";"0000002000001020";0.024369;81568;0
"14";"0000000000003310";0.021978;58.177;0
"140";"0000001000002010";0.019932;2.12199999991051e-314;0
"204";"0000000022002200";0.018584;140.84;0
"204";"0000000031003100";0.011846;147.34;0
"140";"0000001000003010";0.011127;2.12199999991051e-314;0
"204";"0000000021002100";0.0093232;114.57;0
"14";"0000000000002110";0.0089154;21.404;0
"14";"0000000000003110";0.0062754;34.516;0
"2184";"0001000100010000";0.0056741;2.12199999991051e-314;0
"140";"0000000110010000";0.0034003;2.12199999991051e-314;0
"140";"0010000000000110";0.0022254;2.12199999991051e-314;0
"14";"0000000000001110";0.00080861;9.2984;0
"204";"0110000000000110";0.00068421;2.12199999991051e-314;0
