layer,node,node_name,strength,strengthin,strengthout,degree,degreein,degreeout,pagerank,eigenvector,hub,authority,katz,multiplexity,kcore
Herbivory,1,pm1933,92,92,92,13,13,13,NA,0,NA,NA,NA,NA,9
Herbivory,2,pm1931,232,232,232,22.5,22.5,22.5,NA,0,NA,NA,NA,NA,9
Herbivory,3,pm1932,178,178,178,17,17,17,NA,0,NA,NA,NA,NA,9
Herbivory,4,pm1934,76,76,76,9.5,9.5,9.5,NA,0,NA,NA,NA,NA,6
Herbivory,5,pm1936,85.5,85.5,85.5,16,16,16,NA,0,NA,NA,NA,NA,7
Herbivory,6,pm1937,134.5,134.5,134.5,12.5,12.5,12.5,NA,0,NA,NA,NA,NA,9
Herbivory,7,pm1938,95,95,95,14,14,14,NA,0,NA,NA,NA,NA,9
Herbivory,8,pm1939,145,145,145,16.5,16.5,16.5,NA,0,NA,NA,NA,NA,9
Herbivory,9,pm1940,269,269,269,20,20,20,NA,0,NA,NA,NA,NA,9
Herbivory,10,pm1921,145,145,145,13.5,13.5,13.5,NA,0,NA,NA,NA,NA,8
Herbivory,11,pm1823,306.5,306.5,306.5,15.5,15.5,15.5,NA,0,NA,NA,NA,NA,9
Herbivory,12,pm1824,170,170,170,13,13,13,NA,0,NA,NA,NA,NA,9
Herbivory,13,pm1820,89,89,89,12,12,12,NA,0,NA,NA,NA,NA,8
Herbivory,14,pm1825,109,109,109,9,9,9,NA,0,NA,NA,NA,NA,9
Herbivory,15,pm1929,70.5,70.5,70.5,11.5,11.5,11.5,NA,0,NA,NA,NA,NA,6
Herbivory,16,pm8801,208,208,208,11.5,11.5,11.5,NA,0,NA,NA,NA,NA,9
Herbivory,17,pm8808,104,104,104,15,15,15,NA,0,NA,NA,NA,NA,9
Herbivory,18,pm8814,115,115,115,11.5,11.5,11.5,NA,0,NA,NA,NA,NA,9
Herbivory,19,pm8865,127.5,127.5,127.5,12,12,12,NA,0,NA,NA,NA,NA,9
Herbivory,20,Ymah,29,29,29,2.5,2.5,2.5,NA,0,NA,NA,NA,NA,3
Herbivory,21,Hfuc,31,31,31,0.5,0.5,0.5,NA,0,NA,NA,NA,NA,1
Herbivory,22,Ipod_larv,16.5,16.5,16.5,1.5,1.5,1.5,NA,0,NA,NA,NA,NA,3
Herbivory,23,Hpru,144,144,144,8.5,8.5,8.5,NA,1,NA,NA,NA,NA,3
Herbivory,24,OrNI,7.5,7.5,7.5,1.5,1.5,1.5,NA,0,NA,NA,NA,NA,3
Herbivory,25,Mcer,20,20,20,2,2,2,NA,0,NA,NA,NA,NA,3
Herbivory,26,Ainf,15.5,15.5,15.5,2,2,2,NA,0,NA,NA,NA,NA,3
Herbivory,27,FuNI,59,59,59,4.5,4.5,4.5,NA,0,NA,NA,NA,NA,3
Herbivory,28,Tdef,4.5,4.5,4.5,1.5,1.5,1.5,NA,0,NA,NA,NA,NA,2
