# Dataset Prunus mahaleb individual variation in frugivorous animals visitation.
# Locality: Nava de las Correhuelas, Parque Natural de las Sierras de Cazorla, Segura y Las Villas, Jaén, Spain.
# Observations come from 599,6 h of direct watches at focal plants during 1988 (297,6 h) and 1989 (302,0 h).
# This is the merged matrix for 1988-1989 data pooled. 
# Added dummy trees N01-N22 to get a cananonical square matrix for multiplex- just ignore them for normal analysis.
#
# Columns: 
# First cloumn of each matrix is the tree code (row.names), with header omitted to directly import as adjaency matrix.
# Matrix entries are the number of visits recorded druing the corresding sampling time.
# total: total number of viusits recorded for all species.
# pDisp: proportion of total visits by legitimate seed dispersers.
# pNoDisp: proportion of total visits by non-legitimate seed dispersers.
# htot: toital number of sampling hours for each tree, data from 1988 and 1989 combined.
#
# Data: POOLED MATRIX (1988 and 1989 combined).
    Columba.palumbus	Garrulus.glandarius	Turdus.merula	Phoenicurus.ochruros	Erithacus.rubecula	Parus.ater	Fringilla.coelebs	Sylvia.conspicillata	Sylvia.atricapilla	Turdus.viscivorus	Sylvia.communis	Sylvia.melanocephala	Sylvia.borin	Parus.caeruleus	Phoenicurus.phoenicurus	Parus.cristatus	Parus.major	Sylvia.cantillans	Sitta.europaea	Dendrocopos.major	Unidentified	total	pDisp	pNoDisp	htot
1933	0	4	6	20	5	20	48	2	7	18	7	2	3	2	2	0	3	0	0	0	0	149	0,5101	0,4899	31,8
1931	0	2	1	64	3	10	51	2	2	2	11	0	0	2	13	3	4	1	0	0	1	171	0,5906	0,4094	31,8
1932	0	2	3	33	0	21	34	0	0	1	2	1	0	0	6	0	3	1	0	0	0	107	0,4579	0,5421	31,8
1934	0	1	0	8	0	8	6	0	0	0	0	0	0	0	2	2	0	0	0	0	0	27	0,4074	0,5926	28,3
1936	0	0	2	5	2	0	1	0	0	0	3	4	0	0	0	0	0	1	0	0	0	18	0,9444	0,0556	32,2
1937	0	0	20	20	6	4	15	0	1	0	25	3	0	12	7	0	0	3	0	0	0	116	0,7328	0,2672	30,5
1938	0	0	8	13	12	4	10	0	3	1	27	7	0	8	5	0	4	4	0	0	0	106	0,7547	0,2453	30,5
1939	0	0	6	4	16	5	31	0	1	0	6	1	0	5	0	1	0	1	1	0	0	78	0,4487	0,5513	20,8
1940	0	0	4	14	26	3	39	0	6	0	3	4	0	7	1	1	0	0	0	0	0	108	0,5370	0,4630	30,5
1921	1	2	3	65	0	0	28	0	1	0	3	0	0	2	42	0	0	0	0	0	2	147	0,7959	0,2041	27,5
1823	0	20	11	27	15	59	147	0	2	168	0	0	0	25	3	0	7	0	9	7	1	500	0,5060	0,4940	16,3
1824	0	1	16	31	9	6	37	0	1	66	0	0	0	8	3	0	0	0	0	0	2	178	0,7135	0,2865	16,6
1820	0	7	1	26	1	2	39	0	0	10	0	0	0	0	1	0	0	0	0	0	0	87	0,5287	0,4713	13,7
1825	0	4	1	28	3	10	87	0	0	13	0	0	0	1	2	2	1	0	5	0	0	157	0,3248	0,6752	20,5
1929	0	0	0	9	0	0	1	0	0	0	5	0	0	0	2	0	0	0	0	0	0	17	0,9412	0,0588	27,5
8801	0	6	4	134	14	21	47	0	0	24	32	0	1	33	13	1	4	27	0	0	0	361	0,7064	0,2936	52,1
8808	0	8	5	8	7	33	24	0	1	34	5	0	1	2	3	1	0	2	2	0	0	136	0,5441	0,4559	52,6
8814	1	4	25	32	78	5	3	0	0	1	8	0	1	1	0	0	0	1	1	0	0	161	0,9379	0,0621	52,0
8865	0	0	5	47	3	41	14	0	0	9	13	0	2	24	7	0	0	1	7	0	0	173	0,5029	0,4971	52,6
# Data: 1988
    Columba.palumbus	Garrulus.glandarius	Turdus.merula	Phoenicurus.ochruros	Erithacus.rubecula	Parus.ater	Fringilla.coelebs	Sylvia.conspicillata	Sylvia.atricapilla	Turdus.viscivorus	Sylvia.communis	Sylvia.melanocephala	Sylvia.borin	Parus.caeruleus	Phoenicurus.phoenicurus	Parus.cristatus	Parus.major	Sylvia.cantillans	Sitta.europaea	Dendrocopos.major	Unidentified  total	pDisp	pNoDisp	h
