no,plant,animal,w,layer
1,1933,Columba.palumbus,0,SD
2,1933,Garrulus.glandarius,4,SD
3,1933,Turdus.merula,6,SD
4,1933,Phoenicurus.ochruros,20,SD
5,1933,Erithacus.rubecula,5,SD
6,1933,Parus.ater,20,SD
7,1933,Fringilla.coelebs,48,SD
8,1933,Sylvia.conspicillata,2,SD
9,1933,Sylvia.atricapilla,7,SD
10,1933,Turdus.viscivorus,18,SD
11,1933,Sylvia.communis,7,SD
12,1933,Sylvia.melanocephala,2,SD
13,1933,Sylvia.borin,3,SD
14,1933,Parus.caeruleus,2,SD
15,1933,Phoenicurus.phoenicurus,2,SD
16,1933,Parus.cristatus,0,SD
17,1933,Parus.major,3,SD
18,1933,Sylvia.cantillans,0,SD
19,1933,Sitta.europaea,0,SD
20,1933,Dendrocopos.major,0,SD
21,1933,Unidentified,0,SD
22,1931,Columba.palumbus,0,SD
23,1931,Garrulus.glandarius,2,SD
24,1931,Turdus.merula,1,SD
25,1931,Phoenicurus.ochruros,64,SD
26,1931,Erithacus.rubecula,3,SD
27,1931,Parus.ater,10,SD
28,1931,Fringilla.coelebs,51,SD
29,1931,Sylvia.conspicillata,2,SD
30,1931,Sylvia.atricapilla,2,SD
31,1931,Turdus.viscivorus,2,SD
32,1931,Sylvia.communis,11,SD
33,1931,Sylvia.melanocephala,0,SD
34,1931,Sylvia.borin,0,SD
35,1931,Parus.caeruleus,2,SD
36,1931,Phoenicurus.phoenicurus,13,SD
37,1931,Parus.cristatus,3,SD
38,1931,Parus.major,4,SD
39,1931,Sylvia.cantillans,1,SD
40,1931,Sitta.europaea,0,SD
41,1931,Dendrocopos.major,0,SD
42,1931,Unidentified,1,SD
43,1932,Columba.palumbus,0,SD
44,1932,Garrulus.glandarius,2,SD
45,1932,Turdus.merula,3,SD
46,1932,Phoenicurus.ochruros,33,SD
47,1932,Erithacus.rubecula,0,SD
48,1932,Parus.ater,21,SD
49,1932,Fringilla.coelebs,34,SD
50,1932,Sylvia.conspicillata,0,SD
51,1932,Sylvia.atricapilla,0,SD
52,1932,Turdus.viscivorus,1,SD
53,1932,Sylvia.communis,2,SD
54,1932,Sylvia.melanocephala,1,SD
55,1932,Sylvia.borin,0,SD
56,1932,Parus.caeruleus,0,SD
57,1932,Phoenicurus.phoenicurus,6,SD
58,1932,Parus.cristatus,0,SD
59,1932,Parus.major,3,SD
60,1932,Sylvia.cantillans,1,SD
61,1932,Sitta.europaea,0,SD
62,1932,Dendrocopos.major,0,SD
63,1932,Unidentified,0,SD
64,1934,Columba.palumbus,0,SD
65,1934,Garrulus.glandarius,1,SD
66,1934,Turdus.merula,0,SD
67,1934,Phoenicurus.ochruros,8,SD
68,1934,Erithacus.rubecula,0,SD
69,1934,Parus.ater,8,SD
70,1934,Fringilla.coelebs,6,SD
71,1934,Sylvia.conspicillata,0,SD
72,1934,Sylvia.atricapilla,0,SD
73,1934,Turdus.viscivorus,0,SD
74,1934,Sylvia.communis,0,SD
75,1934,Sylvia.melanocephala,0,SD
76,1934,Sylvia.borin,0,SD
77,1934,Parus.caeruleus,0,SD
78,1934,Phoenicurus.phoenicurus,2,SD
79,1934,Parus.cristatus,2,SD
80,1934,Parus.major,0,SD
81,1934,Sylvia.cantillans,0,SD
82,1934,Sitta.europaea,0,SD
83,1934,Dendrocopos.major,0,SD
84,1934,Unidentified,0,SD
85,1936,Columba.palumbus,0,SD
86,1936,Garrulus.glandarius,0,SD
87,1936,Turdus.merula,2,SD
88,1936,Phoenicurus.ochruros,5,SD
89,1936,Erithacus.rubecula,2,SD
