"plant"	"herbiviore"	"w"
"1"	"1933"	"Yponomeuta.mahalebella"	0
"2"	"1933"	"Hemaris.fuciformis"	0
"3"	"1933"	"Iphiclides.podalirius.L"	0
"4"	"1933"	"Hedya.pruniana"	6
"5"	"1933"	"Orthoptera.NI"	0
"6"	"1933"	"Myzus.cerasi"	0
"7"	"1933"	"Aglaope.infausta"	0
"8"	"1933"	"Fungus.NI"	0
"9"	"1933"	"Taphrina.deformans"	0
"10"	"1933"	"Ungulates"	0
"11"	"1933"	"NI"	0
"12"	"1931"	"Yponomeuta.mahalebella"	0
"13"	"1931"	"Hemaris.fuciformis"	0
"14"	"1931"	"Iphiclides.podalirius.L"	0
"15"	"1931"	"Hedya.pruniana"	59
"16"	"1931"	"Orthoptera.NI"	0
"17"	"1931"	"Myzus.cerasi"	10
"18"	"1931"	"Aglaope.infausta"	0
"19"	"1931"	"Fungus.NI"	17
"20"	"1931"	"Taphrina.deformans"	0
"21"	"1931"	"Ungulates"	0
"22"	"1931"	"NI"	2
"23"	"1932"	"Yponomeuta.mahalebella"	0
"24"	"1932"	"Hemaris.fuciformis"	0
"25"	"1932"	"Iphiclides.podalirius.L"	0
"26"	"1932"	"Hedya.pruniana"	8
"27"	"1932"	"Orthoptera.NI"	0
"28"	"1932"	"Myzus.cerasi"	0
"29"	"1932"	"Aglaope.infausta"	0
"30"	"1932"	"Fungus.NI"	0
"31"	"1932"	"Taphrina.deformans"	0
"32"	"1932"	"Ungulates"	0
"33"	"1932"	"NI"	1
"34"	"1934"	"Yponomeuta.mahalebella"	5
"35"	"1934"	"Hemaris.fuciformis"	0
"36"	"1934"	"Iphiclides.podalirius.L"	0
"37"	"1934"	"Hedya.pruniana"	0
"38"	"1934"	"Orthoptera.NI"	0
"39"	"1934"	"Myzus.cerasi"	0
"40"	"1934"	"Aglaope.infausta"	0
"41"	"1934"	"Fungus.NI"	10
"42"	"1934"	"Taphrina.deformans"	0
"43"	"1934"	"Ungulates"	60
"44"	"1934"	"NI"	0
"45"	"1936"	"Yponomeuta.mahalebella"	0
