"plant"	"pollinator"	"w"
"1"	"1933"	"Hemaris.tityus"	0
"2"	"1933"	"Iphiclides.podalirius.Ad"	1
"3"	"1933"	"Vanessa.cardui"	1
"4"	"1933"	"Psithyrus.vestalis.obenbergeri"	0
"5"	"1933"	"Bombus.pratorum.m."	0
"6"	"1933"	"Bombus.pratorum.wk."	0
"7"	"1933"	"Bombus.pascuorum.wk."	0
"8"	"1933"	"Bombus.pascuorum.q."	0
"9"	"1933"	"Bombus.terrestris.wk."	2
"10"	"1933"	"Bombus.terrestris.q."	0
"11"	"1933"	"Xylocopa.violacea"	0
"12"	"1933"	"Apis.mellifera"	1
"13"	"1933"	"Osmia.rufa"	0
"14"	"1933"	"Andrena.fulva"	2
"15"	"1933"	"Andrena.synadelpha.nigroaenea"	0
"16"	"1933"	"Andrena.trimmerana"	0
"17"	"1933"	"Andrena.congruens"	8
"18"	"1933"	"Andrena.tibialis.corvina"	0
"19"	"1933"	"Andrena.albopunctata.morio"	0
"20"	"1933"	"Andrena.assimilis"	0
"21"	"1933"	"Halictus.quadricinctus"	0
"22"	"1933"	"Halictus.tridivisus"	0
"23"	"1933"	"Halictus.scabiosae"	0
"24"	"1933"	"Lasioglossum.xanthopum"	0
"25"	"1933"	"Sphecodes.gibbus"	0
"26"	"1933"	"Megachile.centuncularis"	0
"27"	"1933"	"Ancistrocerus.nigricornis"	0
"28"	"1933"	"Eristalis.tenax"	0
"29"	"1933"	"Eristalis.pratorum"	0
"30"	"1933"	"Eristalis.arbustorum"	0
"31"	"1933"	"Cheilosia.glossa"	0
"32"	"1933"	"Mallota.fuciformis"	0
"33"	"1933"	"Dasysyrphus.albostriatus"	0
"34"	"1933"	"Syrphus.vitripennis"	0
"35"	"1933"	"Syrphus.ribessi"	0
"36"	"1933"	"Criorhina.berberina"	0
"37"	"1933"	"Calliphora.vomitoria"	8
"38"	"1933"	"Gonia.ornata"	2
"39"	"1933"	"Pollenia.rudis"	0
"40"	"1933"	"Tachina.corsicana"	0
"41"	"1933"	"Asilidae.NI"	0
"42"	"1933"	"Empididae.NI"	0
"43"	"1933"	"Diptera.NI"	0
"44"	"1931"	"Hemaris.tityus"	0
"45"	"1931"	"Iphiclides.podalirius.Ad"	0
"46"	"1931"	"Vanessa.cardui"	0
"47"	"1931"	"Psithyrus.vestalis.obenbergeri"	3
"48"	"1931"	"Bombus.pratorum.m."	2
"49"	"1931"	"Bombus.pratorum.wk."	6
"50"	"1931"	"Bombus.pascuorum.wk."	0
"51"	"1931"	"Bombus.pascuorum.q."	1
"52"	"1931"	"Bombus.terrestris.wk."	6
"53"	"1931"	"Bombus.terrestris.q."	1
"54"	"1931"	"Xylocopa.violacea"	1
"55"	"1931"	"Apis.mellifera"	4
"56"	"1931"	"Osmia.rufa"	2
"57"	"1931"	"Andrena.fulva"	112
"58"	"1931"	"Andrena.synadelpha.nigroaenea"	5
"59"	"1931"	"Andrena.trimmerana"	2
"60"	"1931"	"Andrena.congruens"	18
"61"	"1931"	"Andrena.tibialis.corvina"	1
"62"	"1931"	"Andrena.albopunctata.morio"	2
"63"	"1931"	"Andrena.assimilis"	3
"64"	"1931"	"Halictus.quadricinctus"	2
"65"	"1931"	"Halictus.tridivisus"	0
"66"	"1931"	"Halictus.scabiosae"	2
"67"	"1931"	"Lasioglossum.xanthopum"	0
"68"	"1931"	"Sphecodes.gibbus"	0
"69"	"1931"	"Megachile.centuncularis"	0
"70"	"1931"	"Ancistrocerus.nigricornis"	0
"71"	"1931"	"Eristalis.tenax"	6
"72"	"1931"	"Eristalis.pratorum"	0
"73"	"1931"	"Eristalis.arbustorum"	2
"74"	"1931"	"Cheilosia.glossa"	0
"75"	"1931"	"Mallota.fuciformis"	0
"76"	"1931"	"Dasysyrphus.albostriatus"	0
"77"	"1931"	"Syrphus.vitripennis"	0
"78"	"1931"	"Syrphus.ribessi"	0
"79"	"1931"	"Criorhina.berberina"	0
"80"	"1931"	"Calliphora.vomitoria"	16
