# Herbivory. Monolayer form.
	Yponomeuta.mahalebella	Hemaris.fuciformis	Iphiclides.podalirius	Hedya.pruniana	Orthoptera.NI	Myzus.cerasi	Aglaope.infausta	Fungus.NI	Taphrina.deformans	Ungulates	NI
pm1933	0	0	0	6	0	0	0	0	0	0	0
pm1931	0	0	0	59	0	10	0	17	0	0	2
pm1932	0	0	0	8	0	0	0	0	0	0	1
pm1934	5	0	0	0	0	0	0	10	0	60	0
pm1936	0	0	18	18	8	0	5	5	2	10	2
pm1937	0	62	10	11	0	5	0	8	5	0	0
pm1938	0	0	0	5	0	0	0	0	0	0	0
pm1939	0	0	0	18	0	0	0	0	2	0	0
pm1940	0	0	5	4	0	0	11	30	0	60	0
pm1921	15	0	0	8	0	0	10	30	0	0	1
pm1823	0	0	0	30	0	0	0	4	0	0	3
pm1824	0	0	0	10	0	0	0	11	0	0	0
pm1820	20	0	0	0	2	20	0	0	0	0	1
pm1825	0	0	0	8	0	0	0	0	0	0	0
pm1929	8	0	0	41	5	0	5	3	0	0	0
pm8801	0	0	0	23	0	0	0	0	0	0	1
pm8808	10	0	0	6	0	5	0	0	0	0	0
pm8814	0	0	0	12	0	0	0	0	0	0	0
pm8865	0	0	0	21	0	0	0	0	0	0	0
